"AMOSTRAS","Quadrante","Count","Area","Total_Area","%Area","Perimetro","Major_E","Minor_E","Angle","Circularidade","Solidity","Feret","FeretX","Feret y","FeretAngle","MinFeret"
"BGM-0061","Q1","279","47.354121863799278","13.2118","88.863","15.308000000000002","28.67","1.6320000000000001","34.54","0.89400000000000002","0.91700000000000004","32.270000000000003","105.233","393.05700000000002","123.499","1.7490000000000001"
"BGM-0061","Q2","810","7.6222222222222218","61.74","125.56","83.74","29.08","2.044","72.849999999999994","0.90700000000000003","0.88500000000000001","32.229999999999997","239.61099999999999","250.62100000000001","100.01300000000001","2.2090000000000001"
"BGM-0061","Q3","900","35.842222222222219","32.257999999999996","73.828999999999994","78.180000000000007","19.690000000000001","1.1830000000000001","28.63","0.90500000000000003","0.93200000000000005","22.66","153.15199999999999","347.83800000000002","126.099","1.248"
"BGM-0061","Q4","371","7.5417789757412397","27.98","25.86","54.05","19.7","1.512","73.739999999999995","0.96499999999999997","0.89100000000000001","22.12","236.369","238.48500000000001","103.411","1.5760000000000001"
"BGM-0062","Q1","595","61.342109999999998","10.309999999999999","61","33.86","12.73","9.31","84.83","0.92","0.9","12","487.34","498.601","95.93","9.69"
"BGM-0062","Q2","518","9.8289961389961391","50.914200000000001","49.95","33.117000000000004","11.193000000000001","8.7720000000000002","86.02","0.91900000000000004","0.89700000000000002","12.145999999999999","487.26600000000002","499.322","96.820999999999998","9.2050000000000001"
"BGM-0062","Q3","595","10.309596638655462","61.342100000000002","61.342100000000002","33.86","11.25","9.3000000000000007","84.83","0.92","0.9","12.28","487.34","485.79","95.93","9.69"
"BGM-0062","Q4","436","7.358807339449541","32.084400000000002","32.409999999999997","28.473000000000003","97.24","9.7240000000000002","87.760999999999996","0.93","0.89600000000000002","10.604000000000001","503.86900000000003","489.649","98.882999999999996","8.0559999999999992"
"BGM-0069","Q1","392","5.8","22.736000000000001","61.57","25.44","91.18","9.1180000000000003","70.728999999999999","0.95","0.89700000000000002","10.126999999999999","192.90100000000001","197.33199999999999","100.43600000000001","7.1130000000000004"
"BGM-0069","Q2","468","13.384059829059829","62.6374","65.23","38.491","13.824999999999999","1.3824999999999998","66.472999999999999","0.94499999999999995","0.89200000000000002","15.422999999999998","191.51300000000001","196.80600000000001","100.773","1.0878000000000001"
"BGM-0069","Q3","486","1.3697119341563786","66.567999999999998","70.53","38.638999999999996","14.013","1.4013","75.165999999999997","0.95399999999999996","0.89700000000000002","15.646000000000001","202.03700000000001","200.12299999999999","101.971","1.105"
"BGM-0069","Q4","454","13.652246696035242","61.981200000000001","62.77","38.869999999999997","13.94","1.3939999999999999","70.352999999999994","0.94899999999999995","0.89500000000000002","15.571999999999999","204.95400000000001","195.99100000000001","101.321","1.0996000000000001"
"BGM-0070","Q1","392","41.606480000000005","10.614000000000001","41.4","33.729999999999997","11.27","9.42","82.38","0.94","0.9","12.25","496.01","483.721","95.2","9.75"
